8	Q0	65404	1
18	Q0	88124	1
68	Q0	19183	1
89	Q0	64556	1
90	Q0	31793	1
106	Q0	76695	1
109	Q0	73427	1
547	Q0	6349	1
659	Q0	13139	1
672	Q0	40966	1
744	Q0	78176	1
750	Q0	33602	1
766	Q0	2996	1
776	Q0	10440	1
810	Q0	30596	1
858	Q0	45185	1
859	Q0	18749	1
864	Q0	30142	1
864	Q0	24890	1
928	Q0	11572	1
932	Q0	48722	1
1150	Q0	43603	1
1150	Q0	19936	1
1198	Q0	56718	1
1322	Q0	64138	1
1415	Q0	66246	1
1441	Q0	178	1
1530	Q0	28764	1
1676	Q0	77245	1
1676	Q0	58937	1
1736	Q0	25543	1
1748	Q0	18001	1
1819	Q0	66058	1
1826	Q0	8057	1
1994	Q0	51491	1
2010	Q0	44256	1
2070	Q0	30253	1
2075	Q0	44417	1
2075	Q0	60459	1
2075	Q0	14967	1
2183	Q0	24994	1
2183	Q0	24344	1
2204	Q0	4066	1
2204	Q0	50809	1
2204	Q0	83922	1
2296	Q0	83330	1
2334	Q0	2304	1
2376	Q0	64263	1
2376	Q0	91545	1
2383	Q0	17215	1
2400	Q0	1198	1
2407	Q0	2064	1
2416	Q0	48569	1
2423	Q0	81106	1
2465	Q0	81046	1
2513	Q0	82344	1
2549	Q0	58451	1
2549	Q0	21103	1
2580	Q0	11988	1
2587	Q0	89326	1
2589	Q0	43961	1
2676	Q0	55666	1
2685	Q0	37900	1
2713	Q0	29372	1
2724	Q0	32172	1
2790	Q0	27268	1
2790	Q0	100483	1
2790	Q0	4612	1
2857	Q0	60175	1
2885	Q0	85229	1
2891	Q0	31117	1
2923	Q0	82744	1
2923	Q0	46381	1
2964	Q0	95116	1
3049	Q0	88477	1
3091	Q0	95778	1
3125	Q0	89008	1
3148	Q0	92888	1
3149	Q0	98112	1
3177	Q0	17208	1
3451	Q0	26292	1
3451	Q0	99132	1
3480	Q0	53468	1
3480	Q0	75568	1
3500	Q0	71424	1
3503	Q0	63091	1
3503	Q0	89509	1
3566	Q0	99943	1
3759	Q0	67167	1
3771	Q0	49601	1
3830	Q0	54952	1
3909	Q0	61586	1
4011	Q0	470	1
4011	Q0	67699	1
4019	Q0	6881	1
4037	Q0	10275	1
4047	Q0	77652	1
4102	Q0	39115	1
4105	Q0	25096	1
4125	Q0	72046	1
4142	Q0	61346	1
4205	Q0	79777	1
4233	Q0	16270	1
4233	Q0	31377	1
4265	Q0	93881	1
4286	Q0	70460	1
4289	Q0	24881	1
4306	Q0	61819	1
4409	Q0	102326	1
4409	Q0	97925	1
4409	Q0	100306	1
4409	Q0	102088	1
4411	Q0	79903	1
4411	Q0	68239	1
4415	Q0	67676	1
4464	Q0	102904	1
4484	Q0	33990	1
4499	Q0	76996	1
4504	Q0	2981	1
4514	Q0	69485	1
4523	Q0	66626	1
4605	Q0	41312	1
4615	Q0	69523	1
4640	Q0	101369	1
4641	Q0	44594	1
4641	Q0	88327	1
4767	Q0	22804	1
4775	Q0	72021	1
4785	Q0	37517	1
4813	Q0	98356	1
4837	Q0	20958	1
4845	Q0	40424	1
4845	Q0	41625	1
4863	Q0	87398	1
4865	Q0	100485	1
4920	Q0	82294	1
4981	Q0	45218	1
4981	Q0	102684	1
4999	Q0	9938	1
4999	Q0	46211	1
5054	Q0	28119	1
5061	Q0	23747	1
5064	Q0	2003	1
5085	Q0	102436	1
5086	Q0	96606	1
5090	Q0	12988	1
5178	Q0	39819	1
5206	Q0	28230	1
5241	Q0	27489	1
5255	Q0	75112	1
5264	Q0	52579	1
5271	Q0	58599	1
5271	Q0	67663	1
5343	Q0	2860	1
5356	Q0	71553	1
5369	Q0	44223	1
5410	Q0	13975	1
5422	Q0	79517	1
5422	Q0	13513	1
5460	Q0	93248	1
5460	Q0	21174	1
5464	Q0	86691	1
5503	Q0	64279	1
5505	Q0	100387	1
5511	Q0	12746	1
5511	Q0	51873	1
5741	Q0	25943	1
5763	Q0	89964	1
5906	Q0	15172	1
5940	Q0	93936	1
5951	Q0	31663	1
5993	Q0	94373	1
5993	Q0	55084	1
5993	Q0	5827	1
5993	Q0	63690	1
5993	Q0	63501	1
6002	Q0	34389	1
6005	Q0	73310	1
6041	Q0	81655	1
6080	Q0	22856	1
6110	Q0	94117	1
6122	Q0	44344	1
6131	Q0	2460	1
6133	Q0	7733	1
6146	Q0	7403	1
6219	Q0	48946	1
6221	Q0	76414	1
6252	Q0	62868	1
6262	Q0	34538	1
6262	Q0	26799	1
6278	Q0	63698	1
6467	Q0	66834	1
6467	Q0	23217	1
6525	Q0	98150	1
6554	Q0	22469	1
6625	Q0	88892	1
6635	Q0	102449	1
6635	Q0	3656	1
6647	Q0	69790	1
6683	Q0	77631	1
6715	Q0	13732	1
6800	Q0	35191	1
6803	Q0	42620	1
6835	Q0	102243	1
6849	Q0	44601	1
6867	Q0	878	1
7017	Q0	28271	1
7068	Q0	61864	1
7068	Q0	10797	1
7098	Q0	34139	1
7105	Q0	72652	1
7124	Q0	74615	1
7145	Q0	81458	1
7145	Q0	17923	1
7218	Q0	32290	1
7279	Q0	81483	1
7344	Q0	14368	1
7456	Q0	65120	1
7463	Q0	5152	1
7529	Q0	66607	1
7533	Q0	93853	1
7534	Q0	89714	1
7700	Q0	2653	1
7747	Q0	97729	1
7879	Q0	102029	1
7880	Q0	85319	1
7911	Q0	57711	1
8002	Q0	34767	1
8005	Q0	48800	1
8017	Q0	97836	1
8072	Q0	31465	1
8079	Q0	57138	1
8079	Q0	95278	1
8102	Q0	90294	1
8202	Q0	93971	1
8247	Q0	42521	1
8296	Q0	78675	1
8296	Q0	79998	1
8378	Q0	102237	1
8512	Q0	32811	1
8532	Q0	27401	1
8537	Q0	6574	1
8632	Q0	43497	1
8635	Q0	67107	1
8789	Q0	87349	1
8789	Q0	70853	1
8789	Q0	41912	1
8795	Q0	57297	1
8832	Q0	94689	1
8834	Q0	12232	1
8970	Q0	96121	1
8974	Q0	10476	1
9060	Q0	40447	1
9275	Q0	14364	1
9291	Q0	96926	1
9403	Q0	6666	1
9481	Q0	30417	1
9556	Q0	37040	1
9668	Q0	13260	1
9668	Q0	42438	1
9733	Q0	38655	1
9737	Q0	99131	1
9771	Q0	28740	1
9808	Q0	40702	1
9871	Q0	76562	1
9871	Q0	40051	1
9882	Q0	65702	1
9961	Q0	21311	1
9979	Q0	35633	1
9979	Q0	35369	1
10039	Q0	67785	1
10109	Q0	28314	1
10109	Q0	93231	1
10137	Q0	57168	1
10183	Q0	66858	1
10246	Q0	77573	1
10267	Q0	17652	1
10414	Q0	79807	1
10462	Q0	8266	1
10462	Q0	11378	1
10462	Q0	35680	1
10497	Q0	34913	1
10497	Q0	31483	1
10497	Q0	71898	1
10526	Q0	39185	1
10645	Q0	22221	1
10674	Q0	99857	1
10674	Q0	3095	1
10710	Q0	6771	1
10734	Q0	62882	1
10808	Q0	28291	1
10812	Q0	46737	1
10827	Q0	42301	1
10827	Q0	7748	1
10827	Q0	95282	1
10975	Q0	61022	1
11039	Q0	53544	1
11039	Q0	79363	1
11039	Q0	91183	1
